# Language file for DOL
# Language used : ENGLISH
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.Czech:				Czech
Hib.ImportantDelivery.TalkToAddrir.Abort:		Do you really want to abort this quest, all items gained during quest will be lost?
Hib.ImportantDelivery.TalkToAddrir.CaseCharSheet:	character sheet
Hib.ImportantDelivery.TalkToAddrir.CaseExpedite:	expedite
Hib.ImportantDelivery.TalkToAddrir.CaseHorseTicket:	horse ticket
Hib.ImportantDelivery.TalkToAddrir.CaseInformation:	information
Hib.ImportantDelivery.TalkToAddrir.CaseJournal:		journal
Hib.ImportantDelivery.TalkToAddrir.CaseQuestion:	question
Hib.ImportantDelivery.TalkToAddrir.CaseTraining:	continue your training
Hib.ImportantDelivery.TalkToAddrir.CharSheet:		Your character sheet houses all of your character's information, such as attributes, weapon skill, base class and profession. If at any time you want to see your character's statistics, press the far left icon on the menu bar (it looks like a person with circle around them) for more [information].
Hib.ImportantDelivery.TalkToAddrir.Expedite:		Now that I've given you a small introduction to the world of Hibernia, let's get started with your first task. I need for you to deliver this package of supplies to Aethic in Tir na mBeo. Don't worry, I have a special [horse ticket] for you.
Hib.ImportantDelivery.TalkToAddrir.Greetings:		Greetings my young recruit. I am Addrir and I am here to help you find your way around this vast realm. In the process, you will be able to earn weapons, armor, coin and even some levels. I will start your training by asking you a simple [question].
Hib.ImportantDelivery.TalkToAddrir.HorseTicket:		All you need to do is take this horse ticket to Rumdor here in Mag Mell, by the horse cart. Hand him the ticket and you'll be on your way to Tir na mBeo. Be swift my young recruit. Time is of the essence.
Hib.ImportantDelivery.TalkToAddrir.Information:		I know this all seems a little overwhelming, but I have a special item here that will make this transition a smooth one. Please, take this [journal].
Hib.ImportantDelivery.TalkToAddrir.Journal:		This journal will help you from time to time while you are doing various tasks for me. I like to call it a smart journal. It was made by one of the eldritches for new recruits like you. It will help to [expedite] your training.
Hib.ImportantDelivery.TalkToAddrir.OneStepCloser:	Congratulations! You are now one step closer to understanding the world of Camelot! During this phase of your training, I will be sending you to different parts of the realm to deliver much needed supplies to various citizens. You will need to check your QUEST JOURNAL from time to time to see what you need to accomplish next on your quest. You can access the quest journal from the COMMAND button on your [character sheet].
Hib.ImportantDelivery.TalkToAddrir.Question:		I will ask you whether or not you want to continue with your training. A dialog box will pop-up. All you need to do is either press Accept or Decline. Are you ready to [continue your training]?
Hib.ImportantDelivery.TalkToAddrir.Training:		Are you ready to begin your training?
Hib.ImportantDelivery.TalkToAethic.CaseErrand:		errand
Hib.ImportantDelivery.TalkToAethic.Errand:		I need for you to deliver this crate of vegetables to Freagus in Ardee. I'm sure you can do the job. Take this horse ticket and give it to Stable Master Truichon. Hurry now, before the vegetables rot.
Hib.ImportantDelivery.TalkToAethic.Greetings:		Greetings traveler. I've not seen you around here before. You must be a new recruit. Well then, is there something I can help you with?
Hib.ImportantDelivery.TalkToAethic.Supplies:		Ah! The supplies I have been waiting for. Thank you {0}. These will help us tremendously in the coming weeks. I have another [errand] if you are up for it.
Hib.ImportantDelivery.TalkToAethic.Vegetables:		I need for you to deliver this crate of vegetables to Freagus in Ardee. I'm sure you can do the job. Take this horse ticket and give it to Stable Master Truichon. Hurry now, before the vegetables rot.
Hib.ImportantDelivery.TalkToFreagus.CaseReward:		reward
Hib.ImportantDelivery.TalkToFreagus.Errand:		Dont' go far friend. I have yet another errand that needs tending to.
Hib.ImportantDelivery.TalkToFreagus.GoodCrop:		Ah! These must be from Aethic in Tir na mBeo. I have been waiting a while for a good crop to come in. My family, horses and I will be eating well for a while. My thanks to you {0}. Here, let me see if I have a [reward] for your hard work.
Hib.ImportantDelivery.TalkToFreagus.Reward:		It's a little tattered, but it will keep you warm in the cold months. Thank you again {0}.
Hib.ImportantDelivery.TalkToFreagus.Welcome:		Welcome to my stable friend. What can I do for you today?

# TITLES
# /Claim
Titles.Claim.Frontier.FrontierChallenger:		Frontier Challenger
Titles.Claim.Frontier.FrontierVindicator:		Frontier Vindicator
Titles.Claim.Stronghold.StrongholdChief:		Stronghold Chief
Titles.Claim.Stronghold.StrongholdSoldier:		Stronghold Soldier
# /Deathblows
Titles.Deathblows.BattleEnforcer:			Battle Enforcer
Titles.Deathblows.BattleMaster:				Battle Master
# /Kills
Titles.Kills.Albion.BaneOfAlbion:			Bane of Albion
Titles.Kills.Albion.ScourgeOfAlbion:			Scourge of Albion
Titles.Kills.All.MasterAssassine:			Master Assassine
Titles.Kills.All.MasterEnforcer:			Master Enforcer
Titles.Kills.All.MasterSoldier:				Master Soldier
Titles.Kills.Demon.DemonBane:				Demon Bane
Titles.Kills.Demon.DemonScourge:			Demon Scourge
Titles.Kills.Demon.DemonSlayer:				Demon Slayer
Titles.Kills.Demon.DreadVanquisher:			Dread Vanquisher
Titles.Kills.Dragon.DragonFoe:				Dragen Foe
Titles.Kills.Dragon.DragonScourge:			Dragon Scourge
Titles.Kills.Dragon.DragonSlayer:			Dragon Slayer
Titles.Kills.Epic.EpicChallenger:			Epic Challenger
Titles.Kills.Epic.EpicVictor:				Epic Victor
Titles.Kills.Hibernia.BaneOfHibernia:			Bane of Hibernia
Titles.Kills.Hibernia.ScourgeOfHibernia:		Scourge of Hibernia
Titles.Kills.Midgard.BaneOfMidgard:			Bane of Midgard
Titles.Kills.Midgard.ScourgeOfMidgard:			Scourge of Midgard
# /Level
Titles.Level.Level20Info:				Level 20+
Titles.Level.Level20:					Level {0}
# /PrivLevel
Titles.PrivLevel.Administrator:				Administrator
Titles.PrivLevel.Gamemaster:				Gamemaster
# /Solokills
Titles.Solokills.DuelMaster:				Duel Master
Titles.Solokills.LoneEnforcer:				Lone Enforcer
# /Time
Titles.Time.Account.ElderTitle:				Elder
Titles.Time.Character.Veteran:				Veteran
# /CL
Titles.CL.Level1:					Seeker
Titles.CL.Level2:					Enforcer
Titles.CL.Level3:					Outrider
Titles.CL.Level4:					Lightbringer
Titles.CL.Level5:					King's Champion
Titles.CL.Level6:					King´s Emissary
Titles.CL.Level7:					Patron of Minotaur
Titles.CL.Level8:					Visionary
Titles.CL.Level9:					Gladiator
Titles.CL.Level10:					Labyrinthian

# PLAYER STATISTIC
# /Kills
PlayerStatistic.Kill.Title:				Kill Report
PlayerStatistic.Kill.AlbionPlayer:			Albion Players Killed
PlayerStatistic.Kill.HiberniaPlayer:			Hibernia Players Killed
PlayerStatistic.Kill.MidgardPlayer:			Midgard Players Killed
PlayerStatistic.Kill.TotalPlayers:			Total Players Killed

# /Deathblows
PlayerStatistic.Deathblows.AlbionPlayer:		Albion Deathblows
PlayerStatistic.Deathblows.HiberniaPlayer:		Hibernia Deathblows
PlayerStatistic.Deathblows.MidgardPlayer:		Midgard Deathblows
PlayerStatistic.Deathblows.TotalPlayers:		Total Deathblows

# /Solo
PlayerStatistic.Solo.AlbionPlayer:			Albion Solo Killed
PlayerStatistic.Solo.HiberniaPlayer:			Hibernia Solo Killed
PlayerStatistic.Solo.MidgardPlayer:			Midgard Solo Killed
PlayerStatistic.Solo.TotalPlayers:			Total Solo Killed

# /Capture
PlayerStatistic.Capture.Title:				Capture Report
PlayerStatistic.Capture.Keeps:				Total Keeps Captured
PlayerStatistic.Capture.Towers:				Total Towers Captured
# /PvE
PlayerStatistic.PvE.Title:				PvE Report
PlayerStatistic.PvE.KillsDragon:			Dragon Kills
PlayerStatistic.PvE.KillsEpic:				Epic Boss Kills
PlayerStatistic.PvE.KillsLegion:			Legion Kills
